World Rank,Institution Name,Location,Score,Domain
113,Nagoya University,Japan,81.0,nagoya-u.ac.jp
114,Arizona State University,USA,80.9,asu.edu
115,University of Bonn,Germany,80.9,uni-bonn.de
116,École Polytechnique,France,80.9,polytechnique.edu
117,École normale supérieure,France,80.8,ens.fr
118,University of Nottingham,United Kingdom,80.8,nottingham.ac.uk
119,University of New South Wales,Australia,80.8,unsw.edu.au
120,Tohoku University,Japan,80.7,tohoku.ac.jp
121,McMaster University,Canada,80.7,mcmaster.ca
122,Dartmouth College,USA,80.6,dartmouth.edu
123,University of Amsterdam,Netherlands,80.6,uva.nl
124,Monash University,Australia,80.6,monash.edu
125,University of Hamburg,Germany,80.5,uni-hamburg.de
126,Moscow State University,Russia,80.5,msu.ru
127,VU University Amsterdam,Netherlands,80.5,vu.nl
128,Stony Brook University,USA,80.4,stonybrook.edu
129,Rice University,USA,80.4,rice.edu
130,Radboud University Nijmegen,Netherlands,80.4,ru.nl
131,Cardiff University,United Kingdom,80.3,cardiff.ac.uk
132,University of Tübingen,Germany,80.3,uni-tuebingen.de
133,University of Colorado Denver | Anschutz Medical Campus,USA,80.3,ucdenver.edu
134,University of Iowa,USA,80.2,uiowa.edu
135,University of Strasbourg,France,80.2,unistra.fr
136,Shanghai Jiao Tong University,China,80.2,sjtu.edu.cn
137,University of Southampton,United Kingdom,80.1,southampton.ac.uk
138,Aix-Marseille University,France,80.1,univ-amu.fr
139,Georgia Institute of Technology,USA,80.1,gatech.edu
140,Tokyo Institute of Technology,Japan,80.0,titech.ac.jp
141,University of Montpellier,France,80.0,umontpellier.fr
142,Case Western Reserve University,USA,80.0,case.edu
143,Indiana University Bloomington,USA,79.9,indiana.edu
144,Michigan State University,USA,79.9,msu.edu
145,University of Western Australia,Australia,79.9,uwa.edu.au
146,University of Lausanne,Switzerland,79.8,unil.ch
147,Technion – Israel Institute of Technology,Israel,79.8,technion.ac.il
148,University of Milan,Italy,79.8,unimi.it
149,Goethe University Frankfurt,Germany,79.7,goethe-university-frankfurt.de
150,University of Padua,Italy,79.7,unipd.it
151,Oregon Health & Science University,USA,79.7,ohsu.edu
152,Autonomous University of Barcelona,Spain,79.6,uab.cat
153,Icahn School of Medicine at Mount Sinai,USA,79.6,mssm.edu
154,Tufts University,USA,79.6,tufts.edu
155,University of Göttingen,Germany,79.6,uni-goettingen.de
156,Royal Institute of Technology,Sweden,79.5,kth.se
157,Zhejiang University,China,79.5,zju.edu.cn
158,University of Glasgow,United Kingdom,79.5,gla.ac.uk
159,Stockholm University,Sweden,79.4,su.se
160,University of Notre Dame,USA,79.4,nd.edu
161,Université catholique de Louvain,Belgium,79.4,uclouvain.be
162,University of Sheffield,United Kingdom,79.4,sheffield.ac.uk
163,University of Warwick,United Kingdom,79.3,warwick.ac.uk
164,University of Leeds,United Kingdom,79.3,leeds.ac.uk
165,University of Freiburg,Germany,79.3,uni-freiburg.de
166,University of Gothenburg,Sweden,79.2,gu.se
167,North Carolina State University,USA,79.2,ncsu.edu
168,Wageningen University and Research,Netherlands,79.2,wur.nl
169,University of Birmingham,United Kingdom,79.2,birmingham.ac.uk
170,Fudan University,China,79.1,fudan.edu.cn
171,University of Hong Kong,Hong Kong,79.1,hku.hk
172,University of Vienna,Austria,79.1,univie.ac.at
173,Nanyang Technological University,Singapore,79.1,ntu.edu.sg
174,Hokkaido University,Japan,79.0,hokudai.ac.jp
175,Keio University,Japan,79.0,keio.ac.jp
176,Université libre de Bruxelles,Belgium,79.0,ulb.ac.be
177,Iowa State University,USA,78.9,iastate.edu
178,Chinese University of Hong Kong,Hong Kong,78.9,cuhk.edu.hk
179,University of Liverpool,United Kingdom,78.9,liverpool.ac.uk
180,University of Georgia,USA,78.9,uga.edu
181,Paris Descartes University,France,78.8,univ-paris5.fr
182,University of Massachusetts Medical School,USA,78.8,umassmed.edu
183,"University of Science and Technology, Korea",South Korea,78.8,ust.ac.kr
184,University of Massachusetts Amherst,USA,78.8,umass.edu
185,University of Florence,Italy,78.7,unifi.it
186,University of Münster,Germany,78.7,uni-muenster.de
187,Queen Mary University of London,United Kingdom,78.7,qmul.ac.uk
188,Newcastle University,United Kingdom,78.7,ncl.ac.uk
189,University of Chinese Academy of Sciences,China,78.6,ucas.ac.cn
190,University of Missouri–Columbia,USA,78.6,missouri.edu
191,University of Alabama at Birmingham,USA,78.6,uab.edu
192,Durham University,United Kingdom,78.6,dur.ac.uk
193,University of Connecticut,USA,78.5,uconn.edu
194,University of Texas Health Science Center at Houston,USA,78.5,uth.edu
195,Yeshiva University,USA,78.5,yu.edu
196,University of Calgary,Canada,78.5,ucalgary.ca
197,University of Miami,USA,78.4,miami.edu
198,Western University,Canada,78.4,uwo.ca
199,Paul Sabatier University - Toulouse III,France,78.4,univ-tlse3.fr
200,Nanjing University,China,78.4,nju.edu.cn
201,University of Bologna,Italy,78.4,unibo.it
202,Sun Yat-sen University,China,78.3,sysu.edu.cn
203,Charles University in Prague,Czech Republic,78.3,cuni.cz
204,University of Cincinnati,USA,78.3,uc.edu
205,University of Ottawa,Canada,78.3,uottawa.ca
206,University of Liège,Belgium,78.2,uliege.be
207,TU Dresden,Germany,78.2,tu-dresden.de
208,University of Turin,Italy,78.2,unito.it
209,University of Science and Technology of China,China,78.2,ustc.edu.cn
210,"University of Maryland, Baltimore",USA,78.1,umaryland.edu
211,University of Sussex,United Kingdom,78.1,sussex.ac.uk
212,RWTH Aachen University,Germany,78.1,rwth-aachen.de
213,University of Cologne,Germany,78.1,uni-koeln.de
214,University of Würzburg,Germany,78.1,uni-wuerzburg.de
215,Technical University of Denmark,Denmark,78.0,dtu.dk
216,University of Erlangen-Nuremberg,Germany,78.0,fau.eu
217,University of Illinois at Chicago,USA,78.0,uic.edu
218,Sungkyunkwan University,South Korea,78.0,skku.edu
219,Louisiana State University,USA,77.9,lsu.edu
220,University of Lisbon,Portugal,77.9,ulisboa.pt
221,Claude Bernard University Lyon 1,France,77.9,univ-lyon1.fr
222,Yonsei University,South Korea,77.9,yonsei.ac.kr
223,University of Cape Town,South Africa,77.9,uct.ac.za
224,University of Kansas,USA,77.8,ku.edu
225,University College Dublin,Ireland,77.8,ucd.ie
226,Kyushu University,Japan,77.8,kyushu-u.ac.jp
227,University of Porto,Portugal,77.8,up.pt
228,"Trinity College, Dublin",Ireland,77.7,tcd.ie
229,University of Adelaide,Australia,77.7,adelaide.edu.au
230,University of the Witwatersrand,South Africa,77.7,wits.ac.za
231,University of Manitoba,Canada,77.7,umanitoba.ca
232,Karlsruhe Institute of Technology,Germany,77.7,kit.edu
233,University of Kiel,Germany,77.6,uni-kiel.de
234,Johannes Gutenberg University Mainz,Germany,77.6,uni-mainz.de
235,Indiana University – Purdue University Indianapolis,USA,77.6,iupui.edu
236,University of Auckland,New Zealand,77.6,auckland.ac.nz
237,Korea University,South Korea,77.6,korea.ac.kr
238,University of Tsukuba,Japan,77.5,tsukuba.ac.jp
239,Wake Forest University,USA,77.5,wfu.edu
240,Ulm University,Germany,77.5,uni-ulm.de
241,Queensland University of Technology,Australia,77.5,qut.edu.au
242,University of Lille,France,77.5,univ-lille.fr
243,University of Aberdeen,United Kingdom,77.4,abdn.ac.uk
244,Colorado State University,USA,77.4,colostate.edu
245,"University of California, Riverside",USA,77.4,ucr.edu
246,Virginia Commonwealth University,USA,77.4,vcu.edu
247,University of Naples Federico II,Italy,77.4,unina.it
248,Florida State University,USA,77.3,fsu.edu
249,Maastricht University,Netherlands,77.3,maastrichtuniversity.nl
250,Brandeis University,USA,77.3,brandeis.edu
251,Oregon State University,USA,77.3,oregonstate.edu
252,University of Bergen,Norway,77.3,uib.no
253,Wayne State University,USA,77.2,wayne.edu
254,"University of Tennessee, Knoxville",USA,77.2,utk.edu
255,Umeå University,Sweden,77.2,umu.se
256,London School of Hygiene & Tropical Medicine,United Kingdom,77.2,lshtm.ac.uk
257,University of New Mexico,USA,77.2,unm.edu
258,National Autonomous University of Mexico,Mexico,77.2,unam.mx
259,University of Kentucky,USA,77.1,uky.edu
260,University of Warsaw,Poland,77.1,uw.edu.pl
261,Queen's University,Canada,77.1,queensu.ca
262,University of South Florida,USA,77.1,usf.edu
263,Norwegian University of Science and Technology,Norway,77.1,ntnu.no
264,Complutense University of Madrid,Spain,77.0,ucm.es
265,Xi'an Jiaotong University,China,77.0,xjtu.edu.cn
266,University of Leicester,United Kingdom,77.0,le.ac.uk
267,Medical University of Vienna,Austria,77.0,meduniwien.ac.at
268,University of Waterloo,Canada,77.0,uwaterloo.ca
269,Laval University,Canada,76.9,ulaval.ca
270,Shandong University,China,76.9,sdu.edu.cn
271,University of Valencia,Spain,76.9,uv.es
272,University of East Anglia,United Kingdom,76.9,uea.ac.uk
